id,origen,destino,razon_viaje,transporte_utilizado,num_transbordos,tiempo_llegada,hora_inicio,hora_llegada,frecuencia_viaje,razon_transporte,costo_viaje,nivel_confort,satisfaccion_transporte,considera_otro_transporte,edad,genero,ocupacion,ingreso_mensual,vehiculos_hogar,factores_importantes,cambios_viaje,mejoras_transporte,acompanamiento,gasto_mensual_transporte,seguridad_trayecto
2024-09-28 07:53:47.427,sauzal,valle_dorado,Estudio,Autobús,1,70 minutos ,07:50:00,09:00:00,Diariamente,Es la única opción,7 pesos,2,2,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",22,Femenino,Estudiante,menos de 8 mil,1,"Tiempo, Costo, Comodidad",No,Que las unidades no sean tan sucias y los conductores no vayan con música alta.  ,No,300 pesos ,3
2024-09-28 07:53:51.485,vslle de guadalupe ,valle_dorado,Estudio,Autobús,2,2hrs,04:50:00,06:50:00,Diariamente,Es la única opción,46,2,2,Raites con amigos ,20,Femenino,Estudiante,menos de 8 mil,1,"Tiempo, Seguridad",No,"Si ya se lleno que ya no pare para subir mas gente.
Además hay asientos super incomodos o que uno no cabe bien",Solo,920(aprox),2
2024-09-28 08:14:26.540,aeropuerto,uabc_sauzal,Estudio,Autobús,0,50 minutos,07:10:00,08:00:00,3 veces por semana,Es la única opción,Estudiante,2,2,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",24,Masculino,Estudiante,menos de 8 mil,1,"Tiempo, Costo, Seguridad","Empezar a utilizar la bicicleta como transporte a la escuela, me ahorro el camión y hago ejercicio ","Limpieza, seguridad y cantidad de camiones",Solo,500,3
2024-09-28 08:14:52.036,sauzal,centro,Estudio,Autobús,3 o más,30 minutos,09:30:00,10:00:00,Diariamente,Es la única opción,6 pesos,2,2,"Transporte privado (Didi, Uber, Indriver etc. )",22,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Seguridad, Comodidad",Ninguno ,"Más espacio,!que el conductor no quiera subir más gente cuando claramente ya no caben más y que no quieran hacer carreritas cada que se encuentran a otro camionero ",Sola,130,3
2024-09-28 08:27:34.485,porticos,valle_dorado,Estudio,Autobús,3 o más,20 min mas o menos,07:30:00,07:52:00,Diariamente,Es la única opción,6 o 7 pesos ,2,2,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",21,Femenino,Estudiante,menos de 8 mil,1,Seguridad,No,Mas transportes con más capacidad para las personas ,Sola y aveces con mi hermana o pareja ,552,4
2024-09-28 08:27:50.559,lomitaa indeco,valle_dorado,Estudio,Autobús,2,60 minutos ,05:50:00,06:45:00,Diariamente,Es la única opción,13 por viaje,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",43,Femenino,Estudiante,menos de 8 mil,1,"Costo, Seguridad, Comodidad",No,Mejor estructura y más amplitud en rutas,Familia,1300,1
2024-09-28 08:37:25.367,ensenada b.c escorpion ,valle_dorado,Estudio,Autobús,3 o más,30/40min ,06:20:00,06:50:00,Diariamente,Costo,13 normal o 6 de estudiante ,3,3,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",21,Femenino,Estudiante,menos de 8 mil,1,"Tiempo, Costo, Seguridad, Comodidad",No,"El tamaño del transporte, el tiempo en el que tardan en pasar, los tiempos que les dan a los choferes ""considero que está muy limitado y por ende conducen muy feo""",Solo,500,2
2024-09-28 08:56:42.691,17_abril,valle_dorado,Estudio,Autobús,2,1 hora aproximadamente ,12:00:00,01:00:00,Diariamente,Es la única opción,6 pesos,1,2,Ninguno ,22,Masculino,Estudiante,menos de 8 mil,1,"Tiempo, Costo",No,Que implementen más transportes en las rutas donde hay muy pocos,Solo ,440 pesos,3
2024-09-28 09:14:13.850,valle_de_chapultepec,valle_dorado,Estudio,Autobús,1,40,10:00:00,10:40:00,Diariamente,Es la única opción,6,1,1,"Transporte privado (Didi, Uber, Indriver etc. )",32,Masculino,Estudiante,8 mil - 10 mil,1,"Tiempo, Costo, Seguridad, Comodidad",ninguna,"Nuevas unidades, precio adecuado, chaferes adecuados",solo,240,1
2024-09-28 09:17:05.502,valle_dorado,valle_dorado,Estudio,Autobús,1,30 minutos,06:30:00,07:00:00,Diariamente,Costo,6 pesos,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",19,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad","si, he ido a pie a mi lugar de destino, ya que el transporte toma demasiado tiempo en llegar y viene muy saturado",más frecuencia de unidades de transporte,sola,480,3
